epoch	acc	val_acc	loss	val_loss
0	0.858266666794	0.9503	0.710528218619	0.212215106153
1	0.915300000032	0.9644	0.292018132019	0.12568719182
2	0.93126666673	0.9678	0.236814572716	0.111548952901
3	0.939516666794	0.9692	0.210558187238	0.102678336847
4	0.946466666667	0.9716	0.184710674636	0.094103339465
5	0.946483333397	0.9732	0.186510284026	0.0929735569604
6	0.949550000032	0.9756	0.177817165689	0.0853221928366
7	0.952116666698	0.9751	0.170399008302	0.0889442217886
8	0.953983333333	0.9747	0.166513566195	0.0865553186525
9	0.95528333346	0.9769	0.166320696763	0.0841656439684
10	0.954800000095	0.9743	0.168171966358	0.0867716749772
11	0.95596666673	0.975	0.164181270584	0.0895264554199
12	0.955366666698	0.9771	0.163089857113	0.0836201682694
13	0.95866666673	0.9769	0.155372028546	0.0863136488994
14	0.96006666673	0.9791	0.150767560097	0.0835475866182
15	0.961450000032	0.9767	0.148125506993	0.0822816868284
16	0.961433333365	0.9766	0.148242546038	0.0875781726581
17	0.960716666698	0.9782	0.154032723725	0.0818092258076
18	0.96276666673	0.9801	0.142271990148	0.0807881439955
19	0.962750000064	0.9799	0.149278753046	0.0837442147199
20	0.964483333397	0.9796	0.143662542999	0.0786541458178
21	0.964283333365	0.9773	0.139255234904	0.0766322259627
22	0.964833333365	0.9794	0.141924802208	0.0837731065657
23	0.96626666673	0.981	0.129150084658	0.0721720880781
24	0.965983333365	0.9797	0.136192843795	0.0806460456051
25	0.964283333397	0.9792	0.140489775606	0.0803888319725
26	0.967700000032	0.9801	0.125983509943	0.0705473380711
27	0.967233333365	0.9811	0.132878587751	0.0728141074081
28	0.967033333397	0.9827	0.131852846919	0.0718666850425
29	0.968800000064	0.9813	0.128044852646	0.0712899615403
30	0.9694	0.9816	0.122477054742	0.0752346396556
31	0.9691	0.9802	0.127392834989	0.082548231437
32	0.969600000064	0.9799	0.126250546617	0.0848230126272
33	0.971383333333	0.9829	0.115543915967	0.0791247837401
34	0.971366666667	0.9796	0.12458928678	0.0845528601371
35	0.969633333397	0.9825	0.12799954894	0.0751904674066
36	0.97066666673	0.9819	0.120367285867	0.0831698893338
37	0.97258333346	0.983	0.11454694469	0.0855104107475
38	0.970450000032	0.9819	0.128178482725	0.085566288325
39	0.971766666667	0.9833	0.117663202189	0.0808320110525
40	0.971933333429	0.9815	0.118380863681	0.0813633583134
41	0.972100000127	0.9823	0.120140801808	0.0831262801734
42	0.972800000127	0.9824	0.116455309537	0.0772176228869
43	0.972816666667	0.9822	0.115839683704	0.0839398553392
44	0.972133333397	0.9824	0.120322031185	0.0826110029766
45	0.97268333346	0.9833	0.123655095446	0.0803764008053
46	0.972983333397	0.9828	0.11720747589	0.0837548586038
47	0.97425	0.9837	0.111137066513	0.0777274617103
48	0.974100000095	0.9825	0.113623392274	0.0785424228601
49	0.974216666698	0.9816	0.11427795787	0.0757969100175
50	0.97365	0.9821	0.114859437847	0.0756062791207
51	0.97443333346	0.9829	0.11281574494	0.0801748647809
52	0.975533333397	0.9832	0.1053876324	0.0823103635266
53	0.974066666698	0.9812	0.112627205415	0.087079934235
54	0.97488333346	0.9824	0.113260623529	0.0815111309007
55	0.975650000032	0.9832	0.109071346544	0.0792604609086
56	0.9752	0.9828	0.113196644963	0.0855943388715
57	0.975383333397	0.9837	0.110023586248	0.0793313677623
58	0.975850000064	0.9819	0.109535563044	0.0816365104207
59	0.976216666698	0.9834	0.108525820167	0.0901501248586
60	0.974683333365	0.9834	0.112348553848	0.0783711717412
61	0.976016666667	0.9841	0.102724203721	0.0799432540684
62	0.975966666667	0.9841	0.108201538066	0.0719554624215
63	0.977950000127	0.9841	0.103905432415	0.0788331451762
64	0.977300000064	0.9852	0.101970351517	0.0788031623585
65	0.976400000127	0.9818	0.110760619561	0.0834736007198
66	0.977000000032	0.9834	0.105760227407	0.082234815526
67	0.976666666667	0.9832	0.110990904176	0.082794701442
68	0.976383333333	0.9818	0.111180455461	0.0839324608198
69	0.976283333365	0.9832	0.111410898015	0.0851484985653
70	0.976550000127	0.9821	0.106507861198	0.0891668687966
71	0.978066666698	0.9841	0.102868494831	0.0908140295012
72	0.9777	0.984	0.109338338177	0.0833973009565
73	0.97711666673	0.9833	0.111221431364	0.0797626014297
74	0.977466666698	0.9829	0.105732781562	0.0864332875763
75	0.977950000064	0.983	0.104640034555	0.0861549476581
76	0.97855	0.983	0.106919703332	0.0921030643185
77	0.977266666698	0.9834	0.108852249318	0.0839742855029
78	0.977550000064	0.9833	0.107692333258	0.0919942822311
79	0.979000000095	0.9825	0.101824488489	0.0892251188563
80	0.977650000064	0.983	0.107983731132	0.0844527157053
81	0.978350000064	0.9833	0.101354823703	0.0872201754594
82	0.97846666673	0.984	0.104912795104	0.0900991720037
83	0.97841666673	0.9828	0.101053826446	0.0878566895573
84	0.977816666794	0.9844	0.107026035741	0.084105240152
85	0.978966666794	0.9818	0.100846446472	0.0934421107801
86	0.977983333429	0.9824	0.107673083593	0.0883231237209
87	0.97913333346	0.9847	0.101884034825	0.0753405433844
88	0.97871666673	0.9829	0.100879236429	0.0851684043444
89	0.97876666673	0.9841	0.101372512804	0.0819118741759
90	0.97838333346	0.9843	0.106475783221	0.0851408116345
91	0.979533333333	0.9846	0.10052943844	0.0856858222102
92	0.978383333397	0.9838	0.104043968579	0.0856218335084
93	0.978633333429	0.9836	0.107186477966	0.0958008626843
94	0.978583333397	0.9846	0.108862054148	0.0872359970493
95	0.979583333333	0.9842	0.104145691307	0.0907588597225
96	0.979183333333	0.9836	0.0998259158385	0.0814435383981
97	0.980566666794	0.983	0.0948821538998	0.0842692023569
98	0.978816666698	0.9829	0.109423900819	0.0929320944974
99	0.978566666667	0.9832	0.107053020805	0.0939552031776
100	0.97906666673	0.9835	0.103962637704	0.0869418933156
101	0.979066666762	0.984	0.105869579997	0.105595726015
102	0.979266666667	0.9829	0.0999784138697	0.097385925215
